Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,84.36898040771484,118944600,0.0,0.0,0.0
2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,84.5923080444336,111579900,0.0,0.0,0.0
2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,84.6518783569336,116074400,0.0,0.0,0.0
2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,85.00918579101562,131091100,0.0,0.0,0.0
2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,85.29210662841797,126402800,0.0,0.0,0.0
2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,85.41122436523438,106375700,0.0,0.0,0.0
2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,84.6146469116211,163333500,0.0,0.0,0.0
2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,85.32929992675781,161822000,0.0,0.0,0.0
2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,85.56012725830078,115718800,0.0,0.0,0.0
2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,84.5997543334961,212283100,0.0,0.0,0.0
2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,85.65687561035156,139172700,0.0,0.0,0.0
2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,84.78589630126953,216490200,0.0,0.0,0.0
2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,83.155517578125,344859600,0.0,0.0,0.0
2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,81.30181884765625,345942400,0.0,0.0,0.0
2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,81.71870422363281,186937500,0.0,0.0,0.0
2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,81.37628936767578,211168800,0.0,0.0,0.0
2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,81.76338958740234,271863600,0.0,0.0,0.0
2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,80.82538604736328,316104000,0.0,0.0,0.0
2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,79.9469223022461,310677600,0.0,0.0,0.0
2010-02-01,108.1500015258789,109.06999969482422,107.5,109.05999755859375,81.190185546875,187865000,0.0,0.0,0.0
2010-02-02,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,82.17282104492188,216327900,0.0,0.0,0.0
2010-02-03,109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,81.76338958740234,172730700,0.0,0.0,0.0
2010-02-04,108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,79.23970794677734,356715700,0.0,0.0,0.0
2010-02-05,106.55999755859375,106.87999725341797,104.58000183105469,106.66000366210938,79.40348815917969,493585800,0.0,0.0,0.0
2010-02-08,106.73999786376953,107.33000183105469,105.80999755859375,105.88999938964844,78.83023071289062,224166900,0.0,0.0,0.0
2010-02-09,107.12999725341797,108.1500015258789,106.2699966430664,107.22000122070312,79.82035827636719,337820500,0.0,0.0,0.0
2010-02-10,107.05000305175781,107.5999984741211,106.11000061035156,107.01000213623047,79.66401672363281,240511500,0.0,0.0,0.0
2010-02-11,106.87000274658203,108.25,106.25,108.12999725341797,80.497802734375,223591600,0.0,0.0,0.0
2010-02-12,106.98999786376953,108.0999984741211,106.51000213623047,108.04000091552734,80.43082427978516,304622100,0.0,0.0,0.0
2010-02-16,108.86000061035156,109.8499984741211,107.81999969482422,109.73999786376953,81.6963882446289,159317500,0.0,0.0,0.0
2010-02-17,110.2699966430664,110.41000366210938,109.73999786376953,110.26000213623047,82.08350372314453,168845100,0.0,0.0,0.0
2010-02-18,110.08000183105469,111.13999938964844,110.04000091552734,110.91000366210938,82.56741333007812,193708600,0.0,0.0,0.0
2010-02-19,110.62000274658203,111.56999969482422,110.36000061035156,111.13999938964844,82.7386245727539,222684900,0.0,0.0,0.0
2010-02-22,111.55000305175781,111.58000183105469,110.83000183105469,111.16000366210938,82.75349426269531,132346900,0.0,0.0,0.0
2010-02-23,110.86000061035156,111.19999694824219,109.5199966430664,109.80999755859375,81.74851989746094,207497000,0.0,0.0,0.0
2010-02-24,110.13999938964844,111.0,109.86000061035156,110.81999969482422,82.50038146972656,176350700,0.0,0.0,0.0
