theta,v_max_label,v_max,cumulative_return,annual_return,sharpe,max_drawdown,hit_ratio,exposure,trades,sharpe_same_close,buy_signals
0.05,none,inf,0.2848416458629164,0.13435946612542438,0.6275896673520382,-0.2536740768212946,0.5183098591549296,0.7085828343313373,157,0.9329605481529074,257
0.1,none,inf,0.35997836333808464,0.1672551423628703,0.7297791162978476,-0.3627754929620568,0.5216216216216216,0.7385229540918163,77,0.7054174506935769,159
0.15,none,inf,0.5236059868341003,0.2359014968147657,0.9081125898413318,-0.23904290125991012,0.5298701298701298,0.7684630738522954,39,0.6457847863499258,95
0.2,none,inf,0.16610430075469673,0.08036003711566209,0.4122670433711997,-0.32945820537323256,0.5217391304347826,0.8263473053892215,11,0.15149410070703706,46
0.05,P75,0.016312879550238822,-0.06883333058946994,-0.03523624572872963,-0.13910136923034655,-0.2540374144162836,0.5089820359281437,0.3333333333333333,53,0.13432415601032896,93
0.1,P75,0.016312879550238822,0.11934324135300445,0.05834737583496952,0.4144070170026621,-0.2624845866683363,0.5561797752808989,0.35528942115768464,33,-0.06365533528820494,50
0.15,P75,0.016312879550238822,0.18781083328410308,0.09042910581408958,0.5590901060723448,-0.21637562811528888,0.5489130434782609,0.36726546906187624,19,-0.047055896096874925,27
0.2,P75,0.016312879550238822,0.16634407330775058,0.08047176747800111,0.5896503055602839,-0.12987591790011743,0.5775401069518716,0.37325349301397204,5,0.5187932623405284,9
0.05,P90,0.020267412136020454,-0.06889447387594616,-0.035268110605023884,-0.06079201179104,-0.3125582133160443,0.5148148148148148,0.5389221556886228,115,0.3570608599976778,183
0.1,P90,0.020267412136020454,0.12328335452174155,0.06021959666965637,0.37418369467023,-0.33051667247137195,0.5208333333333334,0.5748502994011976,49,0.23536954410042987,105
0.15,P90,0.020267412136020454,0.3258605237685863,0.15243298463695054,0.7263104325610243,-0.22722850555333074,0.5359477124183006,0.6107784431137725,27,0.40514796776363193,60
0.2,P90,0.020267412136020454,-0.029282447957725277,-0.014837670180218088,0.07305121322648526,-0.3516930724295222,0.5269461077844312,0.6666666666666666,9,-0.1747189228452441,24
