v_max_label,v_max,cumulative_return,annual_return,sharpe,max_drawdown,hit_ratio,exposure,trades,sharpe_same_close
P50,0.015593063927251547,0.26885403310017253,0.12723755163043582,0.9795854185375223,-0.17801975005961002,0.5260115606936416,0.34530938123752497,25,1.2551776930133303
P60,0.016635627361850768,0.2954530215445983,0.13906216333550336,0.9019222282196937,-0.16521764505620118,0.5391304347826087,0.4590818363273453,35,1.3873362961315514
P70,0.017984117298428318,0.11739592683302136,0.057420862339909506,0.40027049380360324,-0.2437270496523084,0.5016949152542373,0.5888223552894212,41,1.0900236072414258
P75,0.018839601858567756,0.020591045591672463,0.010304713280873345,0.15088797241890625,-0.303841233790082,0.4984709480122324,0.6526946107784432,33,0.5624133113703698
P80,0.01996825916224551,-0.08381354966058874,-0.04307453569747155,-0.1084847959344896,-0.35709640025575906,0.5027932960893855,0.7145708582834331,23,0.43645341878636146
P90,0.023552315993035627,0.11065675225027416,0.05420821769146267,0.3359775856060749,-0.28942420569611127,0.5163551401869159,0.8542914171656687,27,0.24308263161939703
P95,0.026841483978696477,0.2173277950262662,0.10397561421431778,0.5004842525205085,-0.26367955940004706,0.5160599571734475,0.9321357285429142,15,0.39863436535909696
