theta,v_max_label,v_max,cumulative_return,annual_return,sharpe,max_drawdown,hit_ratio,exposure,trades,sharpe_same_close,buy_signals
0.05,none,inf,0.11740127681913792,0.057423408910644236,0.4337750532260129,-0.134366276160243,0.5054945054945055,0.7265469061876247,197,0.1456741629298315,251
0.1,none,inf,-0.00794771712583131,-0.004005581085167131,0.0596918046277511,-0.21319956968965725,0.5,0.8063872255489022,113,-0.05314332200168103,174
0.15,none,inf,0.00048023448092915366,0.00024152624804685274,0.09175562650154402,-0.27273759912848883,0.5180722891566265,0.8283433133732535,39,-0.28188670547365097,96
0.2,none,inf,0.06383534149994907,0.03161504977518126,0.25993210829929075,-0.24847978726656428,0.5099778270509978,0.9001996007984032,5,0.15672740903637272,44
0.05,P75,0.010878564976735464,-0.011258264720648614,-0.005678772372008534,-0.020510618189386192,-0.12476069624625197,0.5247524752475248,0.4031936127744511,73,-0.4152907532064446,128
0.1,P75,0.010878564976735464,-0.10910185204269685,-0.05645240358390735,-0.5694332075662635,-0.22691065806614585,0.5178571428571429,0.4471057884231537,37,-0.6381792156999876,82
0.15,P75,0.010878564976735464,-0.030216546868057526,-0.015314621972191356,-0.0286062435008064,-0.24164982469535345,0.5307443365695793,0.6167664670658682,13,-0.3428812998957189,36
0.2,P75,0.010878564976735464,0.00714397834262348,0.0035870216439353175,0.11021350301541422,-0.23867947021405822,0.5098039215686274,0.8143712574850299,5,-0.015165850969952871,18
0.05,P90,0.014926829035148725,0.0632942859121326,0.031351111207148064,0.30804595837174925,-0.1487957062325057,0.5150501672240803,0.5968063872255489,147,0.017777736482333925,198
0.1,P90,0.014926829035148725,-0.03229773831951799,-0.016378102057683752,-0.05503397200596487,-0.21272961346032937,0.5154320987654321,0.6467065868263473,79,-0.37263803675682455,131
0.15,P90,0.014926829035148725,-0.020581863036918224,-0.010406054503697693,0.020997483389400776,-0.2848607083251661,0.5196850393700787,0.7604790419161677,31,-0.33633447583304,70
0.2,P90,0.014926829035148725,0.06383534149994907,0.03161504977518126,0.25993210829929075,-0.24847978726656428,0.5099778270509978,0.9001996007984032,5,0.15672740903637272,32
